article_name,country,revision_id,article_quality,population
Omar I of Kanem,Chad,807425129.0,,15.4
Information Minister of the Palestinian National Authority,Palestinian Territory,393276188.0,Stub,
Finance Minister of the Palestinian National Authority,Palestinian Territory,596181202.0,Start,
Planning Minister of the Palestinian National Authority,Palestinian Territory,633612729.0,Start,
Hossam Arafat (politician),Palestinian Territory,680933208.0,Stub,
Tawfik Tirawi,Palestinian Territory,701106976.0,Start,
Isam al-Qadi,Palestinian Territory,706650943.0,Stub,
Hussein al-Araj,Palestinian Territory,707669406.0,Stub,
Mohammad Barghouti,Palestinian Territory,708269321.0,Stub,
Ahmed Khalidi,Palestinian Territory,708495719.0,Stub,
Health Minister of the Palestinian National Authority,Palestinian Territory,708817890.0,Stub,
Qais Abd al-Karim,Palestinian Territory,709529097.0,Stub,
Mahmoud Aloul,Palestinian Territory,709567584.0,Stub,
Victor Batarseh,Palestinian Territory,709994434.0,Stub,
Hanna Nasser (academic),Palestinian Territory,710133339.0,Start,
Anastas Hanania,Palestinian Territory,710390049.0,Start,
Joudeh George Murqos,Palestinian Territory,710676772.0,Stub,
Ali al-Sartawi,Palestinian Territory,710990363.0,Stub,
Jamal Tirawi,Palestinian Territory,712310215.0,Start,
Samir Abu Eisheh,Palestinian Territory,713203735.0,Stub,
Sami Taha,Palestinian Territory,713505054.0,Start,
Ayyub Musallam,Palestinian Territory,714176771.0,Stub,
Hajj Essa Hamed,Palestinian Territory,714181175.0,Stub,
Hasan Tahboub,Palestinian Territory,714208891.0,Stub,
Hanna Nasser,Palestinian Territory,714586856.0,Stub,
Ghazi Hanania,Palestinian Territory,715125381.0,Stub,
Amin Abd al-Hadi,Palestinian Territory,716425885.0,Stub,
Samir Hulileh,Palestinian Territory,717174805.0,Start,
Hatem Qafisha,Palestinian Territory,717350346.0,Stub,
Nayef Rajoub,Palestinian Territory,717907429.0,Stub,
Ghassan Shakaa,Palestinian Territory,720225559.0,Stub,
Salim Zanoun,Palestinian Territory,720541817.0,Stub,
Ahmad Bahar (Palestinian politician),Palestinian Territory,725592476.0,Stub,
Umm Nidal,Palestinian Territory,729635985.0,C,
Aref al-Dajani,Palestinian Territory,730565205.0,Start,
Faed Mustafa,Palestinian Territory,730612889.0,Stub,
Interior Minister of the Palestinian National Authority,Palestinian Territory,734366909.0,C,
Samiha Khalil,Palestinian Territory,737316891.0,Start,
Imil Jarjoui,Palestinian Territory,738485209.0,Stub,
Abu Zakaria al-Jamal,Palestinian Territory,740251014.0,Stub,
Mustafa al-Khalidi,Palestinian Territory,740562507.0,Stub,
Samir Ghawshah,Palestinian Territory,741240899.0,Start,
Fuad Kokaly,Palestinian Territory,742810698.0,Stub,
Janet Mikhail,Palestinian Territory,742930612.0,Stub,
Hind Khoury,Palestinian Territory,744229617.0,Stub,
Saloum Cohen,Palestinian Territory,744680083.0,Stub,
Ahmed Majdalani,Palestinian Territory,745445418.0,Start,
Faidi al-Alami,Palestinian Territory,746561126.0,Stub,
Arafat scarf,Palestinian Territory,752269980.0,Stub,
Zuhir al-Qaisi,Palestinian Territory,754951299.0,C,
Mohammed Shabir,Palestinian Territory,754960024.0,Start,
Said Seyam,Palestinian Territory,755358806.0,C,
Atef Adwan,Palestinian Territory,756834998.0,Start,
Moussa Arafat,Palestinian Territory,756836183.0,Start,
Khouloud Daibes,Palestinian Territory,757565638.0,Stub,
Nahid al-Rayyis,Palestinian Territory,759387598.0,Start,
